season_id,season
1080,Winter
1081,Winter
1082,Winter
1083,Winter
1084,Winter
1085,Winter
1086,Winter
1087,Winter
1088,Winter
1089,Winter
1090,Winter
1091,Winter
1092,Winter
1093,Winter
1094,Winter
1095,Winter
1096,Winter
1097,Winter
1098,Winter
1099,Winter
1100,Winter
1101,Winter
1102,Winter
1103,Winter
1104,Winter
1105,Winter
1106,Winter
1107,Winter
1108,Winter
1109,Winter
1110,Winter
1111,Winter
1112,Winter
1113,Winter
1114,Winter
1115,Winter
1116,Winter
1117,Winter
1118,Winter
1119,Winter
1120,Winter
1121,Winter
1122,Winter
1123,Winter
1124,Winter
1125,Winter
1126,Winter
1127,Winter
1128,Winter
1129,Winter
1130,Winter
1131,Winter
1132,Winter
1133,Winter
1134,Winter
1135,Winter
1136,Winter
1137,Winter
1138,Winter
1139,Winter
1140,Winter
1141,Winter
1142,Winter
1143,Winter
1144,Winter
1145,Winter
1146,Winter
1147,Winter
1148,Winter
1149,Winter
1150,Winter
1151,Winter
1152,Winter
1153,Winter
1154,Winter
1155,Winter
1156,Winter
1157,Winter
1158,Winter
1159,Winter
1160,Winter
1161,Winter
1162,Winter
1163,Winter
1164,Winter
1165,Winter
1166,Winter
1167,Winter
1168,Winter
1169,Winter
1170,Winter
1171,Winter
1172,Winter
1173,Winter
1174,Winter
1175,Winter
1176,Winter
1177,Winter
1178,Winter
1179,Winter
1180,Winter
1181,Winter
1182,Winter
1183,Winter
1184,Winter
1185,Winter
1186,Winter
1187,Winter
1188,Winter
1189,Winter
1190,Winter
1191,Winter
1192,Winter
1193,Winter
1194,Winter
1195,Winter
1196,Winter
1197,Winter
1198,Winter
1199,Winter
1200,Winter
1201,Winter
1202,Winter
1203,Winter
1204,Winter
1205,Winter
1206,Winter
1207,Winter
1208,Winter
1209,Winter
1210,Winter
1211,Winter
1212,Winter
1213,Winter
1214,Winter
1215,Winter
1216,Winter
1217,Winter
1218,Winter
1219,Winter
1220,Winter
1221,Winter
1222,Winter
1223,Winter
1224,Winter
1225,Winter
1226,Winter
1227,Winter
1228,Winter
1229,Winter
1230,Winter
1231,Winter
1232,Winter
1233,Winter
1234,Winter
1235,Winter
1236,Winter
1237,Winter
1238,Winter
1239,Winter
1240,Winter
1241,Winter
1242,Winter
1243,Winter
1244,Winter
1245,Winter
1246,Winter
1247,Winter
1248,Winter
1249,Winter
1250,Winter
1251,Winter
1252,Winter
1253,Winter
1254,Winter
1255,Winter
1256,Winter
1257,Winter
1258,Winter
1259,Winter
1260,Winter
1261,Winter
1262,Winter
1263,Winter
1264,Winter
1265,Winter
1266,Winter
1267,Winter
1268,Winter
1269,Winter
1270,Winter
1271,Winter
1272,Winter
1273,Winter
1274,Winter
1275,Winter
1276,Winter
1277,Winter
1278,Winter
1279,Winter
1280,Winter
1281,Winter
1282,Winter
1283,Winter
1284,Winter
1285,Winter
1286,Winter
1287,Winter
1288,Winter
1289,Winter
1290,Winter
1291,Winter
1292,Winter
1293,Winter
1294,Winter
1295,Winter
1296,Winter
1297,Winter
1298,Winter
1299,Winter
1300,Winter
1301,Winter
1302,Winter
1303,Winter
1304,Winter
1305,Winter
1306,Winter
1307,Winter
1308,Winter
1309,Winter
1310,Winter
1311,Winter
1312,Winter
1313,Winter
1314,Winter
1315,Winter
1316,Winter
1317,Winter
1318,Winter
1319,Winter
1320,Winter
1321,Winter
1322,Winter
1323,Winter
1324,Winter
1325,Winter
1326,Winter
1327,Winter
1328,Winter
1329,Winter
1330,Winter
1331,Winter
1332,Winter
1333,Winter
1334,Winter
1335,Winter
1336,Winter
1337,Winter
1338,Winter
1339,Winter
1340,Winter
1341,Winter
1342,Winter
1343,Winter
1344,Winter
1345,Winter
1346,Winter
1347,Winter
1348,Winter
1349,Winter
1350,Winter
1351,Winter
1352,Winter
1353,Winter
1354,Winter
1355,Winter
1356,Winter
1357,Winter
1358,Winter
1359,Winter
1360,Winter
1361,Winter
1362,Winter
1363,Winter
1364,Winter
1365,Winter
1366,Winter
1367,Winter
1368,Winter
1369,Winter
1370,Winter
1371,Winter
1372,Winter
1373,Winter
1374,Winter
1375,Winter
1376,Winter
1377,Winter
1378,Winter
1379,Winter
1380,Winter
1381,Winter
1382,Winter
1383,Winter
1384,Winter
1385,Winter
1386,Winter
1387,Winter
1388,Winter
1389,Winter
1390,Winter
1391,Winter
1392,Winter
1393,Winter
1394,Winter
1395,Winter
1396,Winter
1397,Winter
1398,Winter
1399,Winter
1400,Winter
1401,Winter
1402,Winter
1403,Winter
1404,Winter
1405,Winter
1406,Winter
1407,Winter
1408,Winter
1409,Winter
1410,Winter
1411,Winter
1412,Winter
1413,Winter
1414,Winter
1415,Winter
1416,Winter
1417,Winter
1418,Winter
1419,Winter
1420,Winter
1421,Winter
1422,Winter
1423,Winter
1424,Winter
1425,Winter
1426,Winter
1427,Winter
1428,Winter
1429,Winter
1430,Winter
1431,Winter
1432,Winter
1433,Winter
1434,Winter
1435,Winter
1436,Winter
1437,Winter
1438,Winter
1439,Winter
1440,Winter
1441,Winter
1442,Winter
1443,Winter
1444,Winter
1445,Winter
1446,Winter
1447,Winter
1448,Winter
1449,Winter
1450,Winter
1451,Winter
1452,Winter
1453,Winter
1454,Winter
1455,Winter
1456,Winter
1457,Winter
1458,Winter
1459,Winter
1460,Winter
1461,Winter
1462,Winter
1463,Winter
1464,Winter
1465,Winter
1466,Winter
1467,Winter
1468,Winter
1469,Winter
1470,Winter
1471,Winter
1472,Winter
1473,Winter
1474,Winter
1475,Winter
1476,Winter
1477,Winter
1478,Winter
1479,Winter
1480,Winter
1481,Winter
1482,Winter
1483,Winter
1484,Winter
1485,Winter
1486,Winter
1487,Winter
1488,Winter
1489,Winter
1490,Winter
1491,Winter
1492,Winter
1493,Winter
1494,Winter
1495,Winter
1496,Winter
1497,Winter
1498,Winter
1499,Winter
1500,Winter
1501,Winter
1502,Winter
1503,Winter
1504,Winter
1505,Autumn
1506,Autumn
1507,Autumn
1508,Autumn
1509,Autumn
1510,Autumn
1511,Autumn
1512,Autumn
1513,Autumn
1514,Autumn
1515,Autumn
1516,Autumn
1517,Autumn
1518,Autumn
1519,Autumn
1520,Autumn
1521,Autumn
1522,Autumn
1523,Autumn
1524,Autumn
1525,Autumn
1526,Autumn
1527,Autumn
1528,Autumn
1529,Autumn
1530,Autumn
1531,Autumn
1532,Autumn
1533,Autumn
1534,Autumn
1535,Autumn
1536,Autumn
1537,Autumn
1538,Autumn
1539,Autumn
1540,Autumn
1541,Autumn
1542,Autumn
1543,Autumn
1544,Autumn
1545,Autumn
1546,Autumn
1547,Autumn
1548,Autumn
1549,Autumn
1550,Autumn
1551,Autumn
1552,Autumn
1553,Autumn
1554,Autumn
1555,Autumn
1556,Autumn
1557,Autumn
1558,Autumn
1559,Autumn
1560,Autumn
1561,Autumn
1562,Autumn
1563,Autumn
1564,Autumn
1565,Autumn
1566,Autumn
1567,Autumn
1568,Autumn
1569,Autumn
1570,Autumn
1571,Autumn
1572,Autumn
1573,Autumn
1574,Autumn
1575,Autumn
1576,Autumn
1577,Autumn
1578,Autumn
1579,Autumn
1580,Autumn
1581,Autumn
1582,Autumn
1583,Autumn
1584,Autumn
1585,Autumn
1586,Autumn
1587,Autumn
1588,Autumn
1589,Autumn
1590,Autumn
1591,Autumn
1592,Autumn
1593,Autumn
1594,Autumn
1595,Autumn
1596,Autumn
1597,Autumn
1598,Autumn
1599,Autumn
1600,Autumn
1601,Autumn
1602,Autumn
1603,Autumn
1604,Autumn
1605,Autumn
1606,Autumn
1607,Autumn
1608,Autumn
1609,Autumn
1610,Autumn
1611,Autumn
1612,Autumn
1613,Autumn
1614,Autumn
1615,Autumn
1616,Autumn
1617,Autumn
1618,Autumn
1619,Autumn
1620,Autumn
1621,Autumn
1622,Autumn
1623,Autumn
1624,Autumn
1625,Autumn
1626,Autumn
1627,Autumn
1628,Autumn
1629,Autumn
1630,Autumn
1631,Autumn
1632,Autumn
1633,Autumn
1634,Autumn
1635,Autumn
1636,Autumn
1637,Autumn
1638,Autumn
1639,Autumn
1640,Autumn
1641,Autumn
1642,Autumn
1643,Autumn
1644,Autumn
1645,Autumn
1646,Autumn
1647,Autumn
1648,Autumn
1649,Autumn
1650,Autumn
1651,Autumn
1652,Autumn
1653,Autumn
1654,Autumn
1655,Autumn
1656,Autumn
1657,Autumn
1658,Autumn
1659,Autumn
1660,Autumn
1661,Autumn
1662,Autumn
1663,Autumn
1664,Autumn
1665,Autumn
1666,Autumn
1667,Autumn
1668,Autumn
1669,Autumn
1670,Autumn
1671,Autumn
1672,Autumn
1673,Autumn
1674,Autumn
1675,Autumn
1676,Autumn
1677,Autumn
1678,Autumn
1679,Autumn
1680,Autumn
1681,Autumn
1682,Autumn
1683,Autumn
1684,Autumn
1685,Autumn
1686,Autumn
1687,Autumn
1688,Autumn
1689,Autumn
1690,Autumn
1691,Autumn
1692,Autumn
1693,Autumn
1694,Autumn
1695,Autumn
1696,Autumn
1697,Autumn
1698,Autumn
1699,Autumn
1700,Autumn
1701,Autumn
1702,Autumn
1703,Autumn
1704,Autumn
1705,Autumn
1706,Autumn
1707,Autumn
1708,Autumn
1709,Autumn
1710,Autumn
1711,Autumn
1712,Autumn
1713,Autumn
1714,Autumn
1715,Autumn
1716,Autumn
1717,Autumn
1718,Autumn
1719,Autumn
1720,Autumn
1721,Autumn
1722,Autumn
1723,Autumn
1724,Autumn
1725,Autumn
1726,Autumn
1727,Autumn
1728,Autumn
1729,Autumn
1730,Autumn
1731,Autumn
1732,Autumn
1733,Autumn
1734,Autumn
1735,Autumn
1736,Autumn
1737,Autumn
1738,Autumn
1739,Autumn
1740,Autumn
1741,Autumn
1742,Autumn
1743,Autumn
1744,Autumn
1745,Autumn
1746,Autumn
1747,Autumn
1748,Autumn
1749,Autumn
1750,Autumn
1751,Autumn
1752,Autumn
1753,Autumn
1754,Autumn
1755,Autumn
1756,Autumn
1757,Autumn
1758,Autumn
1759,Autumn
1760,Autumn
1761,Autumn
1762,Autumn
1763,Autumn
1764,Autumn
1765,Autumn
1766,Autumn
1767,Autumn
1768,Autumn
1769,Autumn
1770,Autumn
1771,Autumn
1772,Autumn
1773,Autumn
1774,Autumn
1775,Autumn
1776,Autumn
1777,Autumn
1778,Autumn
1779,Autumn
1780,Autumn
1781,Autumn
1782,Autumn
1783,Autumn
1784,Autumn
1785,Autumn
1786,Autumn
1787,Autumn
1788,Autumn
1789,Autumn
1790,Autumn
1791,Autumn
1792,Autumn
1793,Autumn
1794,Autumn
1795,Autumn
1796,Autumn
1797,Autumn
1798,Autumn
1799,Autumn
1800,Autumn
1801,Autumn
1802,Autumn
1803,Autumn
1804,Autumn
1805,Autumn
1806,Autumn
1807,Autumn
1808,Autumn
1809,Autumn
1810,Autumn
1811,Autumn
1812,Autumn
1813,Autumn
1814,Autumn
1815,Autumn
1816,Autumn
1817,Autumn
1818,Autumn
1819,Autumn
1820,Autumn
1821,Autumn
1822,Autumn
1823,Autumn
1824,Autumn
1825,Autumn
1826,Autumn
1827,Autumn
1828,Autumn
1829,Autumn
1830,Autumn
1831,Autumn
1832,Autumn
1833,Autumn
1834,Autumn
1835,Autumn
1836,Autumn
1837,Autumn
1838,Autumn
1839,Autumn
1840,Autumn
1841,Autumn
1842,Autumn
1843,Autumn
1844,Autumn
1845,Autumn
1846,Autumn
1847,Autumn
1848,Autumn
1849,Autumn
1850,Autumn
1851,Autumn
1852,Autumn
1853,Autumn
1854,Autumn
1855,Autumn
1856,Autumn
1857,Autumn
1858,Autumn
1859,Autumn
1860,Autumn
1861,Autumn
1862,Autumn
1863,Autumn
1864,Autumn
1865,Autumn
1866,Autumn
1867,Autumn
1868,Autumn
1869,Autumn
1870,Autumn
1871,Autumn
1872,Autumn
1873,Autumn
1874,Autumn
1875,Autumn
1876,Autumn
1877,Autumn
1878,Autumn
1879,Autumn
